mrps lat_us_50 lat_us_90 lat_us_99
4.125769 15.200000 16.175000 18.250000
4.122305 15.250000 16.275000 19.125000
4.126293 15.200000 16.300000 18.675000
4.125428 15.275000 16.325000 18.600000
4.119808 15.275000 16.250000 18.425000
4.122048 15.275000 16.200000 18.550000
4.111378 15.300000 16.300000 18.750000
4.125189 15.275000 16.225000 18.500000
4.123535 15.275000 16.275000 18.600000
4.106717 15.275000 16.375000 18.400000
4.124790 15.225000 16.250000 18.400000
4.118486 15.250000 16.375000 18.850000
4.122742 15.275000 16.175000 18.850000
4.125850 15.275000 16.200000 18.475000
4.125028 15.250000 16.200000 19.125000
4.121028 15.250000 16.275000 18.400000
4.111755 15.275000 16.400000 19.075000
4.125104 15.250000 16.325000 18.800000
4.119213 15.300000 16.200000 18.400000
4.116908 15.275000 16.250000 18.850000
4.121979 15.275000 16.150000 19.000000
4.122784 15.250000 16.325000 18.825000
4.111034 15.300000 16.300000 19.150000
4.118456 15.300000 16.300000 18.650000
4.128585 15.275000 16.175000 18.250000
4.116275 15.275000 16.300000 18.925000
4.115308 15.275000 16.250000 19.275000
4.118990 15.275000 16.225000 18.825000
4.125080 15.275000 16.225000 18.550000
4.129051 15.250000 16.225000 18.625000
4.119917 15.275000 16.300000 18.450000
4.117694 15.275000 16.400000 18.850000
4.119896 15.275000 16.250000 18.600000
4.123526 15.250000 16.175000 18.725000
4.130066 15.250000 16.250000 18.600000
4.118696 15.275000 16.300000 18.700000
4.111529 15.275000 16.275000 18.950000
4.123407 15.250000 16.225000 18.200000
4.124081 15.275000 16.225000 18.500000
4.127601 15.275000 16.200000 18.400000
4.120378 15.250000 16.225000 18.200000
4.114720 15.275000 16.200000 18.525000
4.118611 15.275000 16.325000 18.725000
4.119067 15.250000 16.225000 18.800000
4.106206 15.250000 16.400000 19.375000
4.125136 15.275000 16.325000 18.350000
4.121081 15.275000 16.200000 18.275000
4.123591 15.250000 16.300000 18.375000
4.115695 15.225000 16.275000 18.525000
4.125078 15.225000 16.300000 18.725000
4.132738 15.250000 16.225000 18.450000
4.120358 15.250000 16.300000 18.625000
4.125512 15.250000 16.200000 18.275000
4.119186 15.250000 16.250000 18.675000
4.122121 15.250000 16.275000 19.025000
4.125116 15.275000 16.300000 18.775000
4.119208 15.275000 16.225000 19.150000
4.122118 15.275000 16.200000 18.100000
4.113459 15.275000 16.300000 18.675000
4.114581 15.275000 16.300000 18.525000
4.130378 15.250000 16.200000 18.700000
4.131560 15.250000 16.200000 18.500000
4.125183 15.250000 16.250000 18.550000
4.118791 15.275000 16.350000 18.725000
4.119923 15.275000 16.250000 18.500000
4.130792 15.250000 16.200000 19.150000
4.126114 15.250000 16.225000 19.025000
4.129346 15.250000 16.175000 18.150000
4.123722 15.250000 16.200000 18.550000
4.128567 15.275000 16.225000 18.650000
4.129723 15.250000 16.175000 18.800000
4.116205 15.275000 16.250000 18.100000
4.114091 15.275000 16.350000 18.475000
4.117908 15.275000 16.225000 18.275000
4.113222 15.275000 16.325000 18.700000
4.127052 15.250000 16.250000 18.900000
4.120238 15.275000 16.275000 18.625000
4.109937 15.250000 16.350000 19.500000
4.117979 15.250000 16.275000 18.775000
4.121517 15.275000 16.300000 18.925000
4.122242 15.275000 16.275000 18.700000
4.123011 15.275000 16.250000 18.900000
4.120898 15.250000 16.275000 18.750000
4.111796 15.275000 16.275000 18.650000
4.121574 15.275000 16.200000 18.600000
4.110857 15.300000 16.375000 19.000000
4.119699 15.275000 16.225000 18.725000
4.127798 15.250000 16.250000 18.700000
4.107113 15.300000 16.325000 18.950000
4.116368 15.275000 16.275000 18.550000
4.118438 15.275000 16.350000 18.600000
4.115336 15.300000 16.225000 18.700000
4.120124 15.300000 16.225000 18.675000
4.117815 15.275000 16.275000 18.650000
4.131379 15.250000 16.275000 18.350000
4.115476 15.275000 16.275000 18.900000
4.112655 15.275000 16.325000 19.275000
4.121658 15.250000 16.250000 19.150000
4.125733 15.275000 16.175000 18.400000
4.117846 15.275000 16.300000 18.875000
4.122336 15.275000 16.200000 18.075000
4.117080 15.275000 16.275000 18.550000
4.123149 15.275000 16.200000 18.600000
4.115117 15.275000 16.350000 19.150000
4.113788 15.275000 16.225000 18.875000
4.120570 15.250000 16.300000 19.000000
4.129369 15.250000 16.150000 18.475000
4.123786 15.275000 16.275000 18.550000
4.121923 15.275000 16.300000 19.200000
4.121427 15.275000 16.275000 18.450000
4.119820 15.275000 16.275000 18.425000
4.124144 15.275000 16.325000 18.950000
4.111700 15.275000 16.350000 18.925000
4.117643 15.250000 16.300000 18.425000
4.115128 15.275000 16.300000 19.000000
4.115602 15.275000 16.275000 18.725000
4.117542 15.250000 16.275000 19.025000
4.121908 15.275000 16.300000 18.650000
4.113701 15.275000 16.300000 18.850000
4.123393 15.275000 16.225000 18.650000
